jobid,fold,variant,epoch,batch,total_batches,loss,filename
err_12191775,1,classical,7,42,52,0.017,err_12191775_1.err
err_12191775,1,classical,7,42,52,0.0162,err_12191775_1.err
err_12191775,1,classical,7,42,52,0.0104,err_12191775_1.err
err_12191775,1,classical,7,42,52,0.0115,err_12191775_1.err
err_12191775,1,classical,7,48,52,0.0115,err_12191775_1.err
err_12191775,1,classical,7,48,52,0.0137,err_12191775_1.err
err_12191775,1,classical,7,48,52,0.016,err_12191775_1.err
err_12191775,1,classical,7,48,52,0.0203,err_12191775_1.err
err_12191775,1,classical,7,48,52,0.00857,err_12191775_1.err
err_12191775,1,quantum,1,0,52,0.238,err_12191775_1.err
err_12191775,1,quantum,1,1,52,0.238,err_12191775_1.err
err_12191775,1,quantum,1,1,52,0.238,err_12191775_1.err
err_12191775,1,quantum,1,2,52,0.238,err_12191775_1.err
err_12191775,1,quantum,1,2,52,0.245,err_12191775_1.err
err_12191775,1,quantum,1,3,52,0.245,err_12191775_1.err
err_12191775,1,quantum,1,3,52,0.228,err_12191775_1.err
err_12191775,1,quantum,1,4,52,0.228,err_12191775_1.err
err_12191775,1,quantum,1,4,52,0.192,err_12191775_1.err
err_12191775,1,quantum,1,5,52,0.192,err_12191775_1.err
err_12191775,1,quantum,1,5,52,0.202,err_12191775_1.err
err_12191775,1,quantum,1,6,52,0.202,err_12191775_1.err
err_12191775,1,quantum,1,6,52,0.147,err_12191775_1.err
