Date,nat,Year,Month,Day,Hour,Minute
1982-09-17,-0.824740936894295,1982,9,17,0,0
1982-09-18,-0.824740936894295,1982,9,18,0,0
1982-09-19,-0.824740936894295,1982,9,19,0,0
1982-09-20,-0.7316478017769539,1982,9,20,0,0
1982-09-21,-0.7316478017769539,1982,9,21,0,0
1982-09-22,-0.7316478017769539,1982,9,22,0,0
1982-09-23,-0.7316478017769539,1982,9,23,0,0
1982-09-24,-0.7316478017769539,1982,9,24,0,0
1982-09-25,-0.7316478017769539,1982,9,25,0,0
1982-09-26,-0.7316478017769539,1982,9,26,0,0
1982-09-27,-0.4140916275799295,1982,9,27,0,0
1982-09-28,-0.4140916275799295,1982,9,28,0,0
1982-09-29,-0.4140916275799295,1982,9,29,0,0
1982-09-30,-0.4140916275799295,1982,9,30,0,0
1982-10-01,-0.4140916275799295,1982,10,1,0,0
1982-10-02,-0.4140916275799295,1982,10,2,0,0
1982-10-03,-0.4140916275799295,1982,10,3,0,0
1982-10-04,-0.7646948067561999,1982,10,4,0,0
1982-10-05,-0.7646948067561999,1982,10,5,0,0
1982-10-06,-0.7646948067561999,1982,10,6,0,0
1982-10-07,-0.7646948067561999,1982,10,7,0,0
1982-10-08,-0.7646948067561999,1982,10,8,0,0
1982-10-09,-0.7646948067561999,1982,10,9,0,0
1982-10-10,-0.7646948067561999,1982,10,10,0,0
1982-10-11,-1.042108862640395,1982,10,11,0,0
1982-10-12,-1.042108862640395,1982,10,12,0,0
1982-10-13,-1.042108862640395,1982,10,13,0,0
1982-10-14,-1.042108862640395,1982,10,14,0,0
1982-10-15,-1.042108862640395,1982,10,15,0,0
1982-10-16,-1.042108862640395,1982,10,16,0,0
1982-10-17,-1.042108862640395,1982,10,17,0,0
1982-10-18,-0.8266614842569807,1982,10,18,0,0
1982-10-19,-0.8266614842569807,1982,10,19,0,0
1982-10-20,-0.8266614842569807,1982,10,20,0,0
1982-10-21,-0.8266614842569807,1982,10,21,0,0
1982-10-22,-0.8266614842569807,1982,10,22,0,0
1982-10-23,-0.8266614842569807,1982,10,23,0,0
1982-10-24,-0.8266614842569807,1982,10,24,0,0
1982-10-25,-0.4391553337696682,1982,10,25,0,0
1982-10-26,-0.4391553337696682,1982,10,26,0,0
1982-10-27,-0.4391553337696682,1982,10,27,0,0
1982-10-28,-0.4391553337696682,1982,10,28,0,0
1982-10-29,-0.4391553337696682,1982,10,29,0,0
1982-10-30,-0.4391553337696682,1982,10,30,0,0
1982-10-31,-0.4391553337696682,1982,10,31,0,0
1982-11-01,-0.8028183243827854,1982,11,1,0,0
1982-11-02,-0.8028183243827854,1982,11,2,0,0
1982-11-03,-0.8028183243827854,1982,11,3,0,0
1982-11-04,-0.8028183243827854,1982,11,4,0,0
1982-11-05,-0.8028183243827854,1982,11,5,0,0
1982-11-06,-0.8028183243827854,1982,11,6,0,0
1982-11-07,-0.8028183243827854,1982,11,7,0,0
1982-11-08,-0.7512028952122356,1982,11,8,0,0
1982-11-09,-0.7512028952122356,1982,11,9,0,0
1982-11-10,-0.7512028952122356,1982,11,10,0,0
1982-11-11,-0.7512028952122356,1982,11,11,0,0
1982-11-12,-0.7512028952122356,1982,11,12,0,0
1982-11-13,-0.7512028952122356,1982,11,13,0,0
1982-11-14,-0.7512028952122356,1982,11,14,0,0
1982-11-15,-1.0489322539423684,1982,11,15,0,0
1982-11-16,-1.0489322539423684,1982,11,16,0,0
1982-11-17,-1.0489322539423684,1982,11,17,0,0
1982-11-18,-1.0489322539423684,1982,11,18,0,0
1982-11-19,-1.0489322539423684,1982,11,19,0,0
1982-11-20,-1.0489322539423684,1982,11,20,0,0
1982-11-21,-1.0489322539423684,1982,11,21,0,0
1982-11-22,-0.7258014284396732,1982,11,22,0,0
1982-11-23,-0.7258014284396732,1982,11,23,0,0
1982-11-24,-0.7258014284396732,1982,11,24,0,0
1982-11-25,-0.7258014284396732,1982,11,25,0,0
1982-11-26,-0.7258014284396732,1982,11,26,0,0
1982-11-27,-0.7258014284396732,1982,11,27,0,0
1982-11-28,-0.7258014284396732,1982,11,28,0,0
1982-11-29,-1.0985654287844844,1982,11,29,0,0
1982-11-30,-1.0985654287844844,1982,11,30,0,0
1982-12-01,-1.0985654287844844,1982,12,1,0,0
1982-12-02,-1.0985654287844844,1982,12,2,0,0
1982-12-03,-1.0985654287844844,1982,12,3,0,0
1982-12-04,-1.0985654287844844,1982,12,4,0,0
1982-12-05,-1.0985654287844844,1982,12,5,0,0
1982-12-06,-1.3074324797252763,1982,12,6,0,0
1982-12-07,-1.3074324797252763,1982,12,7,0,0
1982-12-08,-1.3074324797252763,1982,12,8,0,0
1982-12-09,-1.3074324797252763,1982,12,9,0,0
1982-12-10,-1.3074324797252763,1982,12,10,0,0
1982-12-11,-1.3074324797252763,1982,12,11,0,0
1982-12-12,-1.3074324797252763,1982,12,12,0,0
1982-12-13,-1.2352918524788759,1982,12,13,0,0
1982-12-14,-1.2352918524788759,1982,12,14,0,0
1982-12-15,-1.2352918524788759,1982,12,15,0,0
1982-12-16,-1.2352918524788759,1982,12,16,0,0
1982-12-17,-1.2352918524788759,1982,12,17,0,0
1982-12-18,-1.2352918524788759,1982,12,18,0,0
1982-12-19,-1.2352918524788759,1982,12,19,0,0
1982-12-20,-1.3623941694830792,1982,12,20,0,0
1982-12-21,-1.3623941694830792,1982,12,21,0,0
1982-12-22,-1.3623941694830792,1982,12,22,0,0
1982-12-23,-1.3623941694830792,1982,12,23,0,0
1982-12-24,-1.3623941694830792,1982,12,24,0,0
1982-12-25,-1.3623941694830792,1982,12,25,0,0
1982-12-26,-1.3623941694830792,1982,12,26,0,0
1982-12-27,-0.8360634451930185,1982,12,27,0,0
1982-12-28,-0.8360634451930185,1982,12,28,0,0
1982-12-29,-0.8360634451930185,1982,12,29,0,0
1982-12-30,-0.8360634451930185,1982,12,30,0,0
1982-12-31,-0.8360634451930185,1982,12,31,0,0
1983-01-01,-0.8360634451930185,1983,1,1,0,0
1983-01-02,-0.8360634451930185,1983,1,2,0,0
1983-01-03,-1.112550559800675,1983,1,3,0,0
1983-01-04,-1.112550559800675,1983,1,4,0,0
