"Consumentenprijzen; prijsindex 2015=100"
"Bestedingscategorieën: 000000 Alle bestedingen"
"";"Onderwerp"
"";"CPI";"CPI afgeleid";"Jaarmutatie CPI";"Jaarmutatie CPI afgeleid"
"Perioden";"2015 = 100";"2015 = 100";"%";"%"
"2023 september";"127,16";"125,85";"0,2";"-1,4"
"2023 oktober";"127,73";"126,42";"-0,4";"-2,0"
"2023 november";"126,40";"125,08";"1,6";"0,2"
"2023 december";"126,45";"125,13";"1,2";"-0,2"
"2023";"126,09";"124,98";"3,8";"3,0"
"2024 januari";"127,11";"125,25";"3,2";"2,4"
"2024 februari";"127,95";"126,07";"2,8";"2,1"
"2024 maart";"128,58";"126,69";"3,1";"2,3"
"2024 april";"129,42";"127,52";"2,7";"1,9"
"2024 mei";"129,69";"127,79";"2,7";"1,9"
"2024 juni";"129,91";"127,53";"3,2";"2,1"
"2024 juli";"131,82";"129,26";"3,7";"2,7"
"2024 augustus";"132,24";"129,67";"3,6";"2,6"
"2024 september";"131,61";"129,05";"3,5";"2,5"
"2024 oktober";"132,26";"129,68";"3,5";"2,6"
"2024 november";"131,48";"128,91";"4,0";"3,1"
"2024 december";"131,63";"129,06";"4,1";"3,1"
"2024";"130,31";"128,04";"3,3";"2,4"
"2025 januari*";"131,35";"128,66";"3,3";"2,7"
"Bron: CBS"
